"","name1","addr1","phone1"
"219","서울강동 (강일)"," 서울 강동구 아리수로97길 20 ","02-442-5507"
"220","서울강동 (성내)"," 서울 강동구 풍성로 161 ","02-475-6464"
"221","천호 (본점)"," 서울 강동구 구천면로 290 ","02-482-3730"
"222","신강동 (본점)"," 서울 강동구 천호대로 1162 ","02-488-2101"
"223","신강동 (명일)"," 서울 강동구 양재대로138길 32 ","02-3428-7384"
"224","청운효자동 (본점)"," 서울 종로구 필운대로 116 ","02-723-2770"
"225","광화문 (본점)"," 서울 종로구 자하문로 37 ","02-735-2188"
"226","사직동 (본점)"," 서울 종로구 사직로 97 ","02-735-8047"
"227","삼청 (본점)"," 서울 종로구 삼청로 99-1 ","02-733-2670"
"228","삼청 (안국)"," 서울 종로구 북촌로5가길 11 ","02-734-2670"
"229","삼청 (가회)"," 서울 종로구 북촌로8길 1 ","02-747-2670"
"230","세검정 (본점)"," 서울 종로구 평창11길 6 ","02-379-0977"
"231","세검정 (부암동)"," 서울 종로구 자하문로 240 ","02-391-0977"
"232","종로서부 (본점)"," 서울 종로구 통일로16길 3 ","02-736-5049"
"233","교남동 (본점)"," 서울 종로구 송월길 147 ","02-737-1896"
"234","인사동길 (본점)"," 서울특별시 종로구 인사동길 22-2 ","02-732-1170"
"235","종로3.4가 (본점)"," 서울 종로구 종로 140-1 ","02-2273-4117"
"236","대학로 (본점)"," 서울 종로구 동숭길 41 ","02-762-9676"
"237","대학로 (이화동)"," 서울 종로구 율곡로 219-1 ","02-744-5784"
"238","혜화동 (본점)"," 서울특별시 종로구 창경궁로34길 18-4 ","02-765-2469"
"239","명륜 (본점)"," 서울특별시 종로구 성균관로 55 ","02-762-9001"
"240","종로중앙 (본점)"," 서울 종로구 창신길 51 ","02-763-5929"
"241","종로중앙 (창신1동)"," 서울 종로구 지봉로5길 7 ","02-764-2384"
"242","종로중앙 (동대문)"," 서울 종로구 종로52길 44 ","02-762-6800"
"243","종로동부 (본점)"," 서울특별시 종로구 지봉로 99-1 ","02-763-3286"
"244","종로숭인 (본점)"," 서울특별시 종로구 숭인동길 51 ","02-927-4104"
"245","종로숭인 (신설)"," 서울 종로구 난계로29길 17 ","02-2236-0088"
"246","강북삼성병원 (본점)"," 서울특별시 종로구 새문안로 29 ","02-2001-2829"
"247","행정안전부 (본점)"," 서울특별시 종로구 세종대로 209 ","02-2100-3296"
"248","현대건설 (본점)"," 서울 종로구 율곡로 75 ","02-746-3797"
"249","서울대학교병원 (본점)"," 서울 종로구 창경궁로22길 11-4 ","02-2072-2163"
"250","동대문상가 (본점)"," 서울 종로구 종로 266 ","02-2274-0777"
"251","동문 (본점)"," 서울 종로구 종로44길 9 ","02-764-3550"
"252","종로중부 (본점)"," 서울특별시 종로구 종로6가 종로41길 26 ","02-762-1052"
"253","종로광장 (본점)"," 서울 종로구 창경궁로12길 50 ","02-2267-1917"
"254","목동 (본점)"," 서울특별시 양천구 목동중앙본로 114 ","02-2644-4592"
"255","목동 (목3동)"," 서울 양천구 목동중앙북로7길 5 ","02-2642-1367"
"256","목동 (목4동)"," 서울 양천구 목동중앙남로 57-6 ","02-2642-3102"
"257","금빛 (본점)"," 서울 양천구 신월로 188 ","02-2603-4000"
"258","금빛 (금빛북부)"," 서울시 양천구 신월1동 ","02-2603-1125"
"259","금빛 (푸른마을)"," 서울 양천구 신정3동 ","02-2603-8866"
"260","신목동 (본점)"," 서울 양천구 신목로 72 ","02-2645-6606"
"261","신목동 (목동)"," 서울 양천구 오목로54길 1 ","02-2645-0908"
"262","신목동 (신정중앙)"," 서울 양천구 신월로 338 ","02-2654-3388"
"263","신오 (본점)"," 서울 양천구 목동남로4길 26 ","02-2644-0371"
"264","신오 (신오제1)"," 서울 양천구 중앙로 237 ","02-2694-9958"
"265","서울개인택시조합 (양천)"," 서울 양천구 남부순환로 595 ","02-2698-2929"
"266","중랑서부 (본점)"," 서울특별시 중랑구 봉우재로5길 4 ","02-435-0154"
"267","중랑서부 (상봉2동지점)"," 서울 중랑구 면목로91길 17 ","02-494-9991"
"268","사가정 (본점)"," 서울 중랑구 면목동 ","02-434-6764"
"269","서울동부 (본점)"," 서울 중랑구 상봉로 20 ","02-433-3475"
"270","서울동부 (면목역)"," 서울 중랑구 면목로74길 11-6 ","02-434-6162"
"271","서울동부 (서일대)"," 서울 중랑구 용마산로 426 ","02-492-1820"
"272","용마 (본점)"," 서울 중랑구 면목로 302 ","02-435-6178"
"273","용마 (제1)"," 서울 중랑구 면목로27길 6 ","02-493-5553"
"274","상봉1동 (본점)"," 서울 중랑구 상봉중앙로1길 74 ","02-2208-6677"
"275","중화1.3동 (본점)"," 서울특별시 중랑구 동일로130길 9 ","02-435-0130"
"276","중화2동 (본점)"," 서울 중랑구 중랑천로 117 ","02-432-0180"
"277","중화2동 (좋은이웃)"," 서울 중랑구 중랑역로 33 ","02-432-8556"
"278","묵동화랑 (본점)"," 서울특별시 중랑구 동일로 874 ","02-973-1919"
"279","망우동 (본점)"," 서울특별시 중랑구 망우로 481 ","02-433-9891"
"280","신내동 (본점)"," 서울 중랑구 봉화산로56길 70 ","02-436-5011"
"281","신내동 (새능)"," 서울 중랑구 용마산로 711 ","02-436-5013"
"282","서울개인택시조합 (중랑)"," 서울 중랑구 양원역로8길 30 ","02-491-1192"
"283","영등포본동 (본점)"," 서울 영등포구 영신로19길 11-9 ","02-833-5098"
"284","영등포중앙 (본점)"," 서울 영등포구 영중로24길 10 ","02-2675-7411"
"285","영등포중앙 (영중로)"," 서울 영등포구 영중로10길 7 ","02-2634-6443"
"286","영등포제일 (본점)"," 서울 영등포구 영중로 71 ","02-2679-7811"
"287","영등포제일 (당산)"," 서울 영등포구 당산로 214 ","02-2634-2038"
"288","영등포제일 (양평)"," 서울 영등포구 선유서로26길 29 ","02-2631-1611"
"289","영등포제일 (양화)"," 서울 영등포구 양평로18길 4 ","02-2677-3736"
"290","영등포당산 (본점)"," 서울 영등포구 영신로43길 18 ","02-2671-1127"
"291","영등포당산 (3가)"," 서울 영등포구 당산로31길 17 ","02-2677-2579"
"292","도림2동 (본점)"," 서울특별시 영등포구 도림로 353 ","02-849-6411"
"293","문래동 (본점)"," 서울 영등포구 경인로79길 10 ","02-2676-6258"
"294","문래동 (문래역)"," 서울 영등포구 당산로 34 ","02-2637-0505"
"295","문래동 (문래4가)"," 서울 영등포구 도림로143길 8-1 ","02-2635-1539"
"296","문래동 (선유)"," 서울 영등포구 양평로21길 25 ","02-2670-6658"
"297","신길1동 (본점)"," 서울 영등포구 영등포로 380 ","02-841-3700"
"298","신길1동 (신길대신)"," 서울 영등포구 도신로62길 11 ","02-833-3400"
"299","신길2동 (본점)"," 서울 영등포구 도신로 191-1 ","02-842-5121"
"300","신길3.5동 (본점)"," 서울 영등포구 가마산로65길 3 ","02-832-0479"
"301","신길3.5동 (신길5동)"," 서울 영등포구 도림로 225-1 ","02-832-0248"
"302","신길6동 (본점)"," 서울 영등포구 신풍로 96 ","02-833-2364"
"303","신길중앙 (본점)"," 서울 영등포구 가마산로88길 7 ","02-833-0550"
"304","신길중앙 (신길4동)"," 서울 영등포구 가마산로 501 ","02-833-8548"
"305","대림동 (본점)"," 서울특별시 영등포구 디지털로 417 ","02-832-4056"
"306","여의도동 (본점)"," 서울 영등포구 의사당대로1길 34 ","02-780-7911"
"307","국회 (본점)"," 서울 영등포구 의사당대로 1 ","02-788-2526"
"308","한국방송공사 (본점)"," 서울 영등포구 여의공원로 13 ","02-781-2923"
"309","서울개인택시조합 (영동)"," 서울 영등포구 가마산로 364 ","02-844-0343"
"310","독립문 (본점)"," 서울 서대문구 독립문로8길 7 ","02-363-3622"
"311","독립문 (북아현)"," 서울 서대문구 신촌로35길 10 ","02-312-0312"
"312","신촌 (본점)"," 서울 서대문구 연세로 32-1 ","02-393-8275"
"313","연희 (본점)"," 서울특별시 서대문구 연희맛로 39 ","02-333-7800"
"314","연희 (연일)"," 서울 서대문구 홍연길 81 ","02-333-7900"
"315","홍제 (본점)"," 서울특별시 서대문구 통일로37길 22 ","02-396-6546"
"316","홍제 (홍제2동)"," 서울 서대문구 통일로 416 ","02-733-0652"
"317","홍제 (홍제3동)"," 서울 서대문구 인왕시장길 24 ","02-391-2327"
"318","홍은동 (본점)"," 서울 서대문구 홍은중앙로 92 ","02-394-4690"
"319","홍은동 (홍은1동)"," 서울 서대문구 세검정로1길 93 ","02-3217-7726"
"320","북가좌 (본점)"," 서울 서대문구 응암로 54 ","02-373-6858"
